Date,Time,Level,Source_IP,Dest_IP,Destination_Port,Proto,Action,Policy_ID,Service,Sent_Bytes,Received_Bytes
29/03/2022,17:02:03,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,73,347
29/03/2022,17:02:03,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,61,0
29/03/2022,17:02:05,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,60,324
29/03/2022,17:02:05,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,60,324
29/03/2022,17:02:05,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,59,0
29/03/2022,17:02:05,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,122,664
29/03/2022,17:02:05,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,61,332
29/03/2022,17:02:05,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,61,344
29/03/2022,17:02:05,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,59,375
29/03/2022,17:02:07,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,62,336
29/03/2022,17:02:07,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,73,359
29/03/2022,17:02:07,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,73,359
29/03/2022,17:02:07,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,80,351
29/03/2022,17:02:07,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,122,688
29/03/2022,17:02:07,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,62,336
29/03/2022,17:02:07,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,62,348
29/03/2022,17:02:08,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,120,672
29/03/2022,17:02:09,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,63,522
29/03/2022,17:02:09,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,60,336
29/03/2022,17:02:09,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,66,337
29/03/2022,17:02:09,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,80,363
29/03/2022,17:02:09,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,66,337
29/03/2022,17:02:11,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,80,363
29/03/2022,17:02:17,notice,10.0.2.100,213.57.25.76,443,TCP,close,1,HTTPS,5683,103713
29/03/2022,17:02:20,notice,10.0.2.100,35.82.243.29,443,TCP,close,1,HTTPS,1935,5406
29/03/2022,17:02:23,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,76,492
